Device,Test Name,Test Status,Message(s),Test description,Test category
dc1-leaf2c,VerifyInterfacesStatus,failure,Interface: Port-Channel1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf2c,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:27:51 dc1-leaf2c NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-spine1,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc1-spine1: BGP inactive,Verifies the session state of BGP peers.,BGP
dc1-spine1,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -53,4 +53,11 @@
 ntp server vrf MGMT 1.pool.ntp.org
 ntp server vrf MGMT 2.pool.ntp.org
 !
+router multicast
+   ipv4
+      software-forwarding kernel
+   !
+   ipv6
+      software-forwarding kernel
+!
 end
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-spine1,VerifyReachability,failure,Destination 10.255.255.1 (dc1-leaf1a_Ethernet1) from 10.255.255.0 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.5 (dc1-leaf1b_Ethernet1) from 10.255.255.4 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.9 (dc1-leaf2a_Ethernet1) from 10.255.255.8 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.13 (dc1-leaf2b_Ethernet1) from 10.255.255.12 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-spine1,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53923,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-spine1,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-spine1,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:28:45 dc1-spine1 NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-spine2,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc1-spine2: BGP inactive,Verifies the session state of BGP peers.,BGP
dc1-spine2,VerifyReachability,failure,Destination 10.255.255.3 (dc1-leaf1a_Ethernet2) from 10.255.255.2 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.7 (dc1-leaf1b_Ethernet2) from 10.255.255.6 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.11 (dc1-leaf2a_Ethernet2) from 10.255.255.10 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.15 (dc1-leaf2b_Ethernet2) from 10.255.255.14 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-spine2,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53965,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-spine2,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-spine2,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:27:53 dc1-spine2 NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf1a,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc2-leaf1a: BGP inactive,Verifies the session state of BGP peers.,BGP
dc2-leaf1a,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -1,4 +1,4 @@
-! device: dc2-leaf1a (cEOSLab, EOS-4.35.1F-45295350.4351F.1 (engineering build))
+! device: dc1-leaf1a (cEOSLab, EOS-4.35.1F-45295350.4351F.1 (engineering build))
 !
 no aaa root
 !
@@ -57,4 +57,11 @@
 ntp server vrf MGMT 1.pool.ntp.org
 ntp server vrf MGMT 2.pool.ntp.org
 !
+router multicast
+   ipv4
+      software-forwarding kernel
+   !
+   ipv6
+      software-forwarding kernel
+!
 end
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc2-leaf1a,VerifyLLDPNeighbors,failure,Port: Ethernet1 Neighbor: dc2-spine1 Neighbor Port: Ethernet1 - Wrong LLDP neighbors: dc1-spine1.avd.lab/Ethernet1 - Port: Ethernet2 Neighbor: dc2-spine2 Neighbor Port: Ethernet1 - Wrong LLDP neighbors: dc1-spine2.avd.lab/Ethernet1 - Port: Ethernet3 Neighbor: dc2-leaf1b Neighbor Port: Ethernet3 - Wrong LLDP neighbors: dc1-leaf1b.avd.lab/Ethernet3 - Port: Ethernet4 Neighbor: dc2-leaf1b Neighbor Port: Ethernet4 - Wrong LLDP neighbors: dc1-leaf1b.avd.lab/Ethernet4 - Port: Ethernet8 Neighbor: dc2-leaf1c Neighbor Port: Ethernet1 - Wrong LLDP neighbors: dc1-leaf1c.avd.lab/Ethernet1,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf1a,VerifyReachability,failure,Destination 10.255.255.64 (dc2-spine1_Ethernet1) from 10.255.255.65 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.66 (dc2-spine2_Ethernet1) from 10.255.255.67 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-leaf1a,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53940,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf1a,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured - Interface: Loopback1 - Not configured - Interface: Loopback10 - Not configured - Interface: Loopback11 - Not configured - Interface: Port-Channel3 - Not configured - Interface: Port-Channel5 - Not configured - Interface: Port-Channel8 - Not configured - Interface: Vlan11 - Not configured - Interface: Vlan12 - Not configured - Interface: Vlan21 - Not configured - Interface: Vlan22 - Not configured - Interface: Vlan3009 - Not configured - Interface: Vlan3010 - Not configured - Interface: Vlan4093 - Not configured - Interface: Vlan4094 - Not configured - Interface: Vxlan1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf1a,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:28:40 dc2-leaf1a NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf1b,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc2-leaf1b: BGP inactive,Verifies the session state of BGP peers.,BGP
dc2-leaf1b,VerifyLLDPNeighbors,failure,Port: Ethernet1 Neighbor: dc2-spine1 Neighbor Port: Ethernet2 - Wrong LLDP neighbors: dc1-spine1.avd.lab/Ethernet2 - Port: Ethernet2 Neighbor: dc2-spine2 Neighbor Port: Ethernet2 - Wrong LLDP neighbors: dc1-spine2.avd.lab/Ethernet2 - Port: Ethernet3 Neighbor: dc2-leaf1a Neighbor Port: Ethernet3 - Wrong LLDP neighbors: dc1-leaf1a.avd.lab/Ethernet3 - Port: Ethernet4 Neighbor: dc2-leaf1a Neighbor Port: Ethernet4 - Wrong LLDP neighbors: dc1-leaf1a.avd.lab/Ethernet4 - Port: Ethernet8 Neighbor: dc2-leaf1c Neighbor Port: Ethernet2 - Wrong LLDP neighbors: dc1-leaf1c.avd.lab/Ethernet2,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf1b,VerifyReachability,failure,Destination 10.255.255.68 (dc2-spine1_Ethernet2) from 10.255.255.69 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.70 (dc2-spine2_Ethernet2) from 10.255.255.71 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-leaf1b,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53924,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf1b,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured - Interface: Loopback1 - Not configured - Interface: Loopback10 - Not configured - Interface: Loopback11 - Not configured - Interface: Port-Channel3 - Not configured - Interface: Port-Channel5 - Not configured - Interface: Port-Channel8 - Not configured - Interface: Vlan11 - Not configured - Interface: Vlan12 - Not configured - Interface: Vlan21 - Not configured - Interface: Vlan22 - Not configured - Interface: Vlan3009 - Not configured - Interface: Vlan3010 - Not configured - Interface: Vlan4093 - Not configured - Interface: Vlan4094 - Not configured - Interface: Vxlan1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf1b,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:28:47 dc2-leaf1b NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf1c,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -1,4 +1,4 @@
-! device: dc2-leaf1c (cEOSLab, EOS-4.35.1F-45295350.4351F.1 (engineering build))
+! device: dc1-leaf1c (cEOSLab, EOS-4.35.1F-45295350.4351F.1 (engineering build))
 !
 no aaa root
 !
@@ -51,4 +51,11 @@
 ntp server vrf MGMT 1.pool.ntp.org
 ntp server vrf MGMT 2.pool.ntp.org
 !
+router multicast
+   ipv4
+      software-forwarding kernel
+   !
+   ipv6
+      software-forwarding kernel
+!
 end
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc2-leaf1c,VerifyLLDPNeighbors,failure,Port: Ethernet1 Neighbor: dc2-leaf1a Neighbor Port: Ethernet8 - Wrong LLDP neighbors: dc1-leaf1a.avd.lab/Ethernet8 - Port: Ethernet2 Neighbor: dc2-leaf1b Neighbor Port: Ethernet8 - Wrong LLDP neighbors: dc1-leaf1b.avd.lab/Ethernet8,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf1c,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53923,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf1c,VerifyInterfacesStatus,failure,Interface: Port-Channel1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf1c,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:28:45 dc2-leaf1c NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf2a,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc2-leaf2a: BGP inactive,Verifies the session state of BGP peers.,BGP
dc2-leaf2a,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -1,4 +1,4 @@
-! device: dc2-leaf2a (cEOSLab, EOS-4.35.1F-45295350.4351F.1 (engineering build))
+! device: dc1-leaf2a (cEOSLab, EOS-4.35.1F-45295350.4351F.1 (engineering build))
 !
 no aaa root
 !
@@ -59,4 +59,11 @@
 ntp server vrf MGMT 1.pool.ntp.org
 ntp server vrf MGMT 2.pool.ntp.org
 !
+router multicast
+   ipv4
+      software-forwarding kernel
+   !
+   ipv6
+      software-forwarding kernel
+!
 end
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc2-leaf2a,VerifyLLDPNeighbors,failure,Port: Ethernet1 Neighbor: dc2-spine1 Neighbor Port: Ethernet3 - Wrong LLDP neighbors: dc1-spine1.avd.lab/Ethernet3 - Port: Ethernet2 Neighbor: dc2-spine2 Neighbor Port: Ethernet3 - Wrong LLDP neighbors: dc1-spine2.avd.lab/Ethernet3 - Port: Ethernet3 Neighbor: dc2-leaf2b Neighbor Port: Ethernet3 - Wrong LLDP neighbors: dc1-leaf2b.avd.lab/Ethernet3 - Port: Ethernet4 Neighbor: dc2-leaf2b Neighbor Port: Ethernet4 - Wrong LLDP neighbors: dc1-leaf2b.avd.lab/Ethernet4 - Port: Ethernet8 Neighbor: dc2-leaf2c Neighbor Port: Ethernet1 - Wrong LLDP neighbors: dc1-leaf2c.avd.lab/Ethernet1,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf2a,VerifyReachability,failure,Destination 10.255.255.72 (dc2-spine1_Ethernet3) from 10.255.255.73 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.74 (dc2-spine2_Ethernet3) from 10.255.255.75 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 172.16.100.0 (dc1-leaf2a_Ethernet6) from 172.16.100.1 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-leaf2a,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53967,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf2a,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured - Interface: Loopback1 - Not configured - Interface: Loopback10 - Not configured - Interface: Loopback11 - Not configured - Interface: Port-Channel3 - Not configured - Interface: Port-Channel5 - Not configured - Interface: Port-Channel8 - Not configured - Interface: Vlan11 - Not configured - Interface: Vlan12 - Not configured - Interface: Vlan21 - Not configured - Interface: Vlan22 - Not configured - Interface: Vlan3009 - Not configured - Interface: Vlan3010 - Not configured - Interface: Vlan4093 - Not configured - Interface: Vlan4094 - Not configured - Interface: Vxlan1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf2a,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:27:55 dc2-leaf2a NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf2b,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc2-leaf2b: BGP inactive,Verifies the session state of BGP peers.,BGP
dc2-leaf2b,VerifyLLDPNeighbors,failure,Port: Ethernet1 Neighbor: dc2-spine1 Neighbor Port: Ethernet4 - Wrong LLDP neighbors: dc1-spine1.avd.lab/Ethernet4 - Port: Ethernet2 Neighbor: dc2-spine2 Neighbor Port: Ethernet4 - Wrong LLDP neighbors: dc1-spine2.avd.lab/Ethernet4 - Port: Ethernet3 Neighbor: dc2-leaf2a Neighbor Port: Ethernet3 - Wrong LLDP neighbors: dc1-leaf2a.avd.lab/Ethernet3 - Port: Ethernet4 Neighbor: dc2-leaf2a Neighbor Port: Ethernet4 - Wrong LLDP neighbors: dc1-leaf2a.avd.lab/Ethernet4 - Port: Ethernet8 Neighbor: dc2-leaf2c Neighbor Port: Ethernet2 - Wrong LLDP neighbors: dc1-leaf2c.avd.lab/Ethernet2,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf2b,VerifyReachability,failure,Destination 10.255.255.76 (dc2-spine1_Ethernet4) from 10.255.255.77 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.78 (dc2-spine2_Ethernet4) from 10.255.255.79 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 172.16.100.2 (dc1-leaf2b_Ethernet6) from 172.16.100.3 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc2-leaf2b,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53965,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf2b,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured - Interface: Loopback1 - Not configured - Interface: Loopback10 - Not configured - Interface: Loopback11 - Not configured - Interface: Port-Channel3 - Not configured - Interface: Port-Channel5 - Not configured - Interface: Port-Channel8 - Not configured - Interface: Vlan11 - Not configured - Interface: Vlan12 - Not configured - Interface: Vlan21 - Not configured - Interface: Vlan22 - Not configured - Interface: Vlan3009 - Not configured - Interface: Vlan3010 - Not configured - Interface: Vlan4093 - Not configured - Interface: Vlan4094 - Not configured - Interface: Vxlan1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf2b,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:27:53 dc2-leaf2b NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-leaf2c,VerifyLLDPNeighbors,failure,Port: Ethernet1 Neighbor: dc2-leaf2a Neighbor Port: Ethernet8 - Wrong LLDP neighbors: dc1-leaf2a.avd.lab/Ethernet8 - Port: Ethernet2 Neighbor: dc2-leaf2b Neighbor Port: Ethernet8 - Wrong LLDP neighbors: dc1-leaf2b.avd.lab/Ethernet8,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc2-leaf2c,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53923,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc2-leaf2c,VerifyInterfacesStatus,failure,Interface: Port-Channel1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc2-leaf2c,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:28:46 dc2-leaf2c NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc2-spine1,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc2-spine1: BGP inactive,Verifies the session state of BGP peers.,BGP
